slahtjegh	.
.	Åvletjen
Åvletjen	lij
lij	aaj
aaj	maanasåjhtere
maanasåjhtere	mealtan
mealtan	,
,	gie
gie	edtji
edtji	satnem
satnem	geehtedidh
geehtedidh	gosse
gosse	barkedh
barkedh	,
,	ihke
ihke	gånka
gånka	gon
gon	trööhnegh
trööhnegh	tjoeverigan
tjoeverigan	tråvnaj
tråvnaj	nelnie
nelnie	tjahkasjidh
tjahkasjidh	.
.	Idtjigan
Idtjigan	,
,	daarah
daarah	,
,	dah
dah	guaktah
guaktah	dellie
dellie	asth
asth	Åvletjem
Åvletjem	geehtedidh
geehtedidh	.
.	Akten
Akten	biejjien
biejjien	Åvletje
Åvletje	jïh
jïh	altese
altese	maanasåjhtere
maanasåjhtere	ligan
ligan	ålkene
ålkene	slåahtesåafosne
slåahtesåafosne	vaedtsieminie
vaedtsieminie	,
,	dle
dle	naan
naan	maanah
maanah	aajhtsigan
aajhtsigan	,
,	mah
mah	lopme-aajjam
lopme-aajjam	lin
lin	darjoeminie
darjoeminie	.
.	”
”	Gie
Gie	maa
maa	datne
datne	,
,	gie
gie	kråvnam
kråvnam	guedtieminie
guedtieminie	?
?	Maanah
Maanah	gihtjin
gihtjin	.
.	”
”	Manne
Manne	hov
hov	gidtjh
gidtjh	dïhte
dïhte	prïnse
prïnse	,
,	mij
mij	daennie
daennie	slåahtesne
slåahtesne	årroem
årroem	.
.	”
”	Åvletje
Åvletje	jeehti
jeehti	.
.	”
”	Manne
Manne	hov
hov	leam
leam	dejtie
dejtie	daaroen
daaroen	vuekie-voetide
vuekie-voetide	ohtsedeminie
ohtsedeminie	.
.	”
”	”
”	Ih
Ih	daarpesjh
daarpesjh	vielie
vielie	ohtsedidh
ohtsedidh	,
,	daam
daam	maam
maam	mijjieh
mijjieh	libie
libie	darjoeminie
darjoeminie	,
,	lea
lea	dïhte
dïhte	mij
mij	lea
lea	eensi
eensi	daaroen
daaroen	.
.	”
”	Maanah
Maanah	jeehtin
jeehtin	.
.	”
”	Geehth
Geehth	maa
maa	daelie
daelie	,
,	aellies
aellies	goh
goh	kråvna
kråvna	slahtjegh
slahtjegh	”
”	,
,	Maanasåjhtere
Maanasåjhtere	jis
jis	.
.	Mohte
Mohte	,
,	idtji
idtji	maa
maa	Åvletje
Åvletje	dam
dam	goltelh
goltelh	.
.	Tjaskani
Tjaskani	dejnie
dejnie	lopme-aajjine
lopme-aajjine	satne
satne	aaj
aaj	,
,	jïlhts
jïlhts	kråvna
kråvna	raagkesjeminie
raagkesjeminie	.
.	Dah
Dah	lopme-aajjah
lopme-aajjah	,
,	mejtie
mejtie	Åvletje
Åvletje	darjoeji
darjoeji	,
,	lin
lin	dah
dah	tjaebpemes
tjaebpemes	lopme-aajjah
lopme-aajjah	mah
mah	daajkoe
daajkoe	bïjre
bïjre	orreme
orreme	.
.	Goh
Goh	dej
dej	lopme-aajjajgujmie
lopme-aajjajgujmie	galhkeme
galhkeme	,
,	dle
dle	maanasåjhtere
maanasåjhtere	aajhtsi
aajhtsi	kråvna
kråvna	lij
lij	raajsanamme
raajsanamme	.
.	Gånka
Gånka	gon
gon	trööhnegh
trööhnegh	dallah
dallah	aajhtsigan
aajhtsigan	,
,	kråvna
kråvna	lij
lij	raajsenamme
raajsenamme	,
,	goh
goh	bååstede
bååstede	viht
viht	slåahtese
slåahtese	bööti
bööti	.
.	Bysvi
Bysvi	hov
hov	,
,	guktie
guktie	tjoeveri
tjoeveri	golme
golme	biejjieh
biejjieh	tråvnesne
tråvnesne	,
,	jïjtse
jïjtse	kråvnine
kråvnine	,
,	tjahkasjidh
tjahkasjidh	.
.	Goh
Goh	dah
dah	biejjieh
biejjieh	lin
lin	vaaseme
vaaseme	,
,	dle
dle	viht
viht	Åvletje
Åvletje	åadtjoeji
åadtjoeji	mïnnedh
mïnnedh	daaroen
daaroen	vuekie-voetide
vuekie-voetide	goerehtalledh
goerehtalledh	.
.	Idtjigan
Idtjigan	,
,	daarah
daarah	,
,	gånka
gånka	gon
gon	trööhnegh
trööhnegh	tuhtjh
tuhtjh	såtnoeh
såtnoeh	lægan
lægan	dejtie
dejtie	eensilaakan
eensilaakan	annje
annje	guarkeme
guarkeme	.
.	Tjoeveri
Tjoeveri	barre
barre	kråvnam
kråvnam	eensilaakan
eensilaakan	geehtedidh
geehtedidh	,
,	aellies
aellies	goh
goh	viht
viht	raajsenh
raajsenh	.
.	”
”	Nov
Nov	sån
sån	gåarede
gåarede	eensi
eensi	daaroeladtjine
daaroeladtjine	årrodh
årrodh	,
,	jïlhts
jïlhts	kråvnam
kråvnam	guadta
guadta	”
”	.
.	Mubpien
Mubpien	biejjien
biejjien	Åvletje
Åvletje	maanasåjhterinie
maanasåjhterinie	ektine
ektine	slåahten
slåahten	sjåljosne
sjåljosne	mïnnigan
mïnnigan	.
.	Desnie
Desnie	naan
naan	maanajgujmie
maanajgujmie	gaavnedigan
gaavnedigan	,
,	mah
mah	lin
lin	ålkene
ålkene	gïerestalleminie
gïerestalleminie	.
.	”
”	Gie
Gie	maa
maa	datne
datne	,
,	gie
gie	kråvnam
kråvnam	guedtieminie
guedtieminie	?
?	”
”	Maanah
Maanah	gihtjin
gihtjin	.
.	”
”	Manne
Manne	hov
hov	gidtjh
gidtjh	dïhte
dïhte	prïnse
prïnse	,
,	gie
gie	daennie
daennie	slåahtesne
slåahtesne	årroem
årroem	.
.	”
”	Åvletje
Åvletje	vaestiedi
vaestiedi	,
,	”
”	Jïh
Jïh	manne
manne	edtjem
edtjem	daaroen
daaroen	vuekie-voetide
vuekie-voetide	ohtsedidh
ohtsedidh	”
”	.
.	”
”	Ih
Ih	daarpesjh
daarpesjh	vielie
vielie	ohtsedidh
ohtsedidh	,
,	ihke
ihke	daate
daate	lea
lea	dïhte
dïhte	mij
mij	eensi
eensi	daaroen
daaroen	.
.	“
“	Maanah
Maanah	jeehtin
jeehtin	.
.	”
”	Geehth
Geehth	amma
amma	,
,	aellies
aellies	goh
goh	kråvna
kråvna	viht
viht	slahtjegh
slahtjegh	”
”	Maanasåjhtere
Maanasåjhtere	jeahta
jeahta	.
.	Mohte
Mohte	idtji
idtji	maa
maa	Åvletje
Åvletje	dam
dam	goltelh
goltelh	.
.	Tjihkedi
Tjihkedi	dan
dan	stööremes
stööremes	tjïelhken
tjïelhken	nïlle
nïlle	,
,	njååjti
njååjti	varki
varki	våålese
våålese	dam
dam	njoejem
njoejem	guktie
guktie	eah
eah	gïeh
gïeh	gænnah
gænnah	daajkoe
daajkoe	bïjre
bïjre	aarebi
aarebi	gïerestalleme
gïerestalleme	.
.	Dellie
Dellie	goh
goh	viht
viht	slåahtese
slåahtese	tjaangigan
tjaangigan	,
,	dellie
dellie	maanasåjhtere
maanasåjhtere	dan
dan	fuahpan
fuahpan	sjædta
sjædta	,
,	ihke
ihke	vuajna
vuajna	naan
naan	gearketjh
gearketjh	leah
leah	kråvneste
kråvneste	gahtjestamme
gahtjestamme	.
.	Goh
Goh	gånka
gånka	gon
gon	trööhnegh
trööhnegh	aaj
aaj	dam
dam	aajhtsigan
aajhtsigan	,
,	dle
dle	Åvletje
Åvletje	tjoeveri
tjoeveri	tråvnan
tråvnan	nelnie
nelnie	golme
golme	våhkoeh
våhkoeh	,
,	jïjtse
jïjtse	kråvnine
kråvnine	,
,	tjahkasjidh
tjahkasjidh	.
.	Goh
Goh	golme
golme	våhkoeh
våhkoeh	lin
lin	vaaseme
vaaseme	,
,	dellie
dellie	Åvletje
Åvletje	viht
viht	tjaskani
tjaskani	ohtsedidh
ohtsedidh	,
,	dejtie
dejtie	daaroen
daaroen	vuekie-voetide
vuekie-voetide	goerehtidh
goerehtidh	.
.	Dan
Dan	aejkien
aejkien	gånka
gånka	gon
gon	trööhnegh
trööhnegh	sïjhtigan
sïjhtigan	jïjtjh
jïjtjh	dåeriedidh
dåeriedidh	vuartasjidh
vuartasjidh	mejtie
mejtie	gaajhke
gaajhke	staaran
staaran	sjïdti
sjïdti	.
.	”
”	Nov
Nov	sån
sån	gåarede
gåarede	eensi
eensi	daaroeladtjine
daaroeladtjine	årrodh
årrodh	,
,	jïlhts
jïlhts	kråvnam
kråvnam	guadta
guadta	”
”	Gånka
Gånka	jeehti
jeehti	.
.	Gånka
Gånka	dan
dan	maanasåjhteren
maanasåjhteren	gåajkoe
gåajkoe	njihki
njihki	,
,	gihtji
gihtji	mejtie
mejtie	maam
maam	joem
joem	meehtin
meehtin	ektesne
ektesne	darjodh
darjodh	,
,	mij
mij	lij
lij	sjïere
sjïere	daaroen
daaroen	.
.	”
”	Daelie
Daelie	hov
hov	lea
lea	nimhtie
nimhtie	,
,	gieries
gieries	majeestete
majeestete	”
”	Maanasåjhtere
Maanasåjhtere	plyjkestalleminie
plyjkestalleminie	goh
goh	krukngi
krukngi	”
”	Dah
Dah	daaroeladtjh
daaroeladtjh	hov
hov	leah
leah	treavkajgujmie
treavkajgujmie	reakasovveme
reakasovveme	”
”	”
”	Mejgujmie
Mejgujmie	leah
leah	reakasovveme
reakasovveme	?
?	Soptsesth
Soptsesth	dle
dle	eensilaakan
eensilaakan	,
,	guktie
guktie	guarkam
guarkam	!
!	”
”	”
”	Treavkajgujmie
Treavkajgujmie	,
,	altese
altese	majeestete
majeestete	.
.	Vååjnoeh
Vååjnoeh	barre
barre	goh
goh	feallojne
feallojne	,
,	gusnie
gusnie	leah
leah	åvtegietjide
åvtegietjide	najvehtamme
najvehtamme	.
.	Ij
Ij	Gånka
Gånka	eensi
eensi	daaroeladtjine
daaroeladtjine	sjïdth
sjïdth	,
,	aarebi
aarebi	goh
goh	lea
lea	buektiehtamme
buektiehtamme	lïeredh
lïeredh	tjoejkedh
tjoejkedh	.
.	”
”	”
”	Buektieh
Buektieh	amma
amma	dagkerh
dagkerh	fealloeh
fealloeh	abpe
abpe	dan
dan	mov
mov	fualhkan
fualhkan	”
”	Gånka
Gånka	tjeanaridie
tjeanaridie	dallah
dallah	stilli
stilli	.
.	Jïh
Jïh	dle
dle	nimhtie
nimhtie	sjïdti
sjïdti	,
,	dah
dah	væjkalommes
væjkalommes	jïh
jïh	tjiehpemes
tjiehpemes	treavkadarjojh
treavkadarjojh	treavkah
treavkah	abpe
abpe	gånkafualhkan
gånkafualhkan	darjoejin
darjoejin	.
.	Tjåetskemes
Tjåetskemes	daelviebiejjie
daelviebiejjie	lij
lij	,
,	dellie
dellie	goh
goh	gånka
gånka	gon
gon	trööhnegh
trööhnegh	jïh
jïh	aerpieprïnsetje
aerpieprïnsetje	treavkide
treavkide	joksedin
joksedin	.
.	Åvletje
Åvletje	dejtie
dejtie	unniemasside
unniemasside	åadtjoeji
åadtjoeji	,
,	ihke
ihke	satne
satne	dïhte
dïhte	unnemes
unnemes	.
.	Goh
Goh	stuhtjetjem
stuhtjetjem	tjoejkeme
tjoejkeme	,
,	dle
dle	naan
naan	maanajgujmie
maanajgujmie	gaavnedin
gaavnedin	,
,	mah
mah	lin
lin	treavkajgujmie
treavkajgujmie	njulhtjeminie
njulhtjeminie	.
.	”
”	Gie
Gie	maa
maa	datne
datne	,
,	gie
gie	kråvnam
kråvnam	guedtieminie
guedtieminie	?
?	Maanah
Maanah	gihtjin
gihtjin	.
.	”
”	Manne
Manne	hov
hov	gidtjh
gidtjh	dïhte
dïhte	prïnse
prïnse	,
,	gie
gie	daennie
daennie	slåahtesne
slåahtesne	jïh
jïh	staaresne
staaresne	årroem
årroem	”
”	Åvletje
Åvletje	jeehti
jeehti	”
”	Jïh
Jïh	manne
manne	edtjem
edtjem	dejtie
dejtie	daaroen
daaroen	vuekie-voetide
vuekie-voetide	ohtsedidh
ohtsedidh	.
.	”
”	.
.	”
”	Ih
Ih	daarpesjh
daarpesjh	vielie
